CNTY_NAME,rep_unit,plan,district,prop_of_rep_unit,total_votes
ADAMS,CITY OF ADAMS WARDS 1-5,evers,41,1,586
ADAMS,CITY OF ADAMS WARDS 1-5,old,41,1,586
ADAMS,CITY OF ADAMS WARDS 1-5,pmc,72,1,586
ADAMS,"CITY OF WISCONSIN DELLS WARDS 5,9",evers,41,1,18
ADAMS,"CITY OF WISCONSIN DELLS WARDS 5,9",old,41,1,18
ADAMS,"CITY OF WISCONSIN DELLS WARDS 5,9",pmc,72,1,18
ADAMS,TOWN OF ADAMS WARDS 1-3,evers,41,1,612
ADAMS,TOWN OF ADAMS WARDS 1-3,old,41,1,612
ADAMS,TOWN OF ADAMS WARDS 1-3,pmc,72,1,612
ADAMS,TOWN OF BIG FLATS WARDS 1-2,evers,72,1,469
ADAMS,TOWN OF BIG FLATS WARDS 1-2,old,72,1,469
ADAMS,TOWN OF BIG FLATS WARDS 1-2,pmc,72,1,469
ADAMS,TOWN OF COLBURN WARD 1,evers,72,1,152
ADAMS,TOWN OF COLBURN WARD 1,old,72,1,152
ADAMS,TOWN OF COLBURN WARD 1,pmc,72,1,152
ADAMS,"TOWN OF DELL PRAIRIE WARDS 1,2",evers,41,1,813
ADAMS,"TOWN OF DELL PRAIRIE WARDS 1,2",old,41,1,813
ADAMS,"TOWN OF DELL PRAIRIE WARDS 1,2",pmc,72,1,813
ADAMS,TOWN OF EASTON WARD 1,evers,41,1,469
ADAMS,TOWN OF EASTON WARD 1,old,41,1,469
ADAMS,TOWN OF EASTON WARD 1,pmc,72,1,469
ADAMS,TOWN OF JACKSON WARDS 1-2,evers,41,1,606
ADAMS,TOWN OF JACKSON WARDS 1-2,old,41,1,606
ADAMS,TOWN OF JACKSON WARDS 1-2,pmc,72,1,606
ADAMS,TOWN OF LEOLA WARD 1,evers,72,1,144
ADAMS,TOWN OF LEOLA WARD 1,old,72,1,144
ADAMS,TOWN OF LEOLA WARD 1,pmc,72,1,144
ADAMS,TOWN OF LINCOLN WARD 1,evers,41,1,171
ADAMS,TOWN OF LINCOLN WARD 1,old,41,1,171
ADAMS,TOWN OF LINCOLN WARD 1,pmc,72,1,171
ADAMS,TOWN OF MONROE WARD 1,evers,72,1,246
ADAMS,TOWN OF MONROE WARD 1,old,72,1,246
ADAMS,TOWN OF MONROE WARD 1,pmc,72,1,246
ADAMS,TOWN OF NEW CHESTER WARDS 1-3,evers,41,1,406
ADAMS,TOWN OF NEW CHESTER WARDS 1-3,old,41,1,406
ADAMS,TOWN OF NEW CHESTER WARDS 1-3,pmc,72,1,406
ADAMS,TOWN OF NEW HAVEN WARD 1,evers,41,1,317
ADAMS,TOWN OF NEW HAVEN WARD 1,old,41,1,317
ADAMS,TOWN OF NEW HAVEN WARD 1,pmc,72,1,317
ADAMS,TOWN OF PRESTON WARDS 1-2,evers,72,1,644
ADAMS,TOWN OF PRESTON WARDS 1-2,old,72,1,644
ADAMS,TOWN OF PRESTON WARDS 1-2,pmc,72,1,644
ADAMS,"TOWN OF QUINCY WARDS 1,2",evers,41,1,641
ADAMS,"TOWN OF QUINCY WARDS 1,2",old,41,1,641
ADAMS,"TOWN OF QUINCY WARDS 1,2",pmc,72,1,641
ADAMS,TOWN OF RICHFIELD WARD 1,evers,72,1,89
ADAMS,TOWN OF RICHFIELD WARD 1,old,72,1,89
ADAMS,TOWN OF RICHFIELD WARD 1,pmc,72,1,89
ADAMS,"TOWN OF ROME WARDS 1,2,3,4",evers,72,1,2115
ADAMS,"TOWN OF ROME WARDS 1,2,3,4",old,72,1,2115
ADAMS,"TOWN OF ROME WARDS 1,2,3,4",pmc,72,1,2115
ADAMS,TOWN OF SPRINGVILLE WARDS 1-2,evers,41,1,590
ADAMS,TOWN OF SPRINGVILLE WARDS 1-2,old,41,1,590
ADAMS,TOWN OF SPRINGVILLE WARDS 1-2,pmc,72,1,590
ADAMS,"TOWN OF STRONGS PRAIRIE WARDS 1,2",evers,72,1,598
ADAMS,"TOWN OF STRONGS PRAIRIE WARDS 1,2",old,72,1,598
ADAMS,"TOWN OF STRONGS PRAIRIE WARDS 1,2",pmc,72,1,598
ADAMS,VILLAGE OF FRIENDSHIP WARD 1,evers,41,1,222
ADAMS,VILLAGE OF FRIENDSHIP WARD 1,old,41,1,222
ADAMS,VILLAGE OF FRIENDSHIP WARD 1,pmc,72,1,222
ASHLAND,"CITY OF ASHLAND WARDS 1-8,11",evers,74,1,1514
ASHLAND,"CITY OF ASHLAND WARDS 1-8,11",old,74,1,1514
ASHLAND,"CITY OF ASHLAND WARDS 1-8,11",pmc,75,1,1514
ASHLAND,"CITY OF ASHLAND WARDS 9-10,12-21",evers,74,1,1861
ASHLAND,"CITY OF ASHLAND WARDS 9-10,12-21",old,74,1,1861
ASHLAND,"CITY OF ASHLAND WARDS 9-10,12-21",pmc,75,1,1861
ASHLAND,CITY OF MELLEN WARD 1,evers,74,1,265
ASHLAND,CITY OF MELLEN WARD 1,old,74,1,265
ASHLAND,CITY OF MELLEN WARD 1,pmc,74,1,265
ASHLAND,TOWN OF AGENDA WARD 1,evers,74,1,217
ASHLAND,TOWN OF AGENDA WARD 1,old,74,1,217
ASHLAND,TOWN OF AGENDA WARD 1,pmc,74,1,217
ASHLAND,TOWN OF ASHLAND WARD 1,evers,74,1,282
ASHLAND,TOWN OF ASHLAND WARD 1,old,74,1,282
ASHLAND,TOWN OF ASHLAND WARD 1,pmc,74,1,282
ASHLAND,TOWN OF CHIPPEWA WARD 1,evers,74,1,183
ASHLAND,TOWN OF CHIPPEWA WARD 1,old,74,1,183
ASHLAND,TOWN OF CHIPPEWA WARD 1,pmc,74,1,183
ASHLAND,TOWN OF GINGLES WARDS 1-2,evers,74,1,405
ASHLAND,TOWN OF GINGLES WARDS 1-2,old,74,1,405
ASHLAND,TOWN OF GINGLES WARDS 1-2,pmc,75,1,405
ASHLAND,TOWN OF GORDON WARD 1,evers,74,1,163
ASHLAND,TOWN OF GORDON WARD 1,old,74,1,163
ASHLAND,TOWN OF GORDON WARD 1,pmc,74,1,163
ASHLAND,TOWN OF JACOBS WARDS 1-2,evers,74,1,297
ASHLAND,TOWN OF JACOBS WARDS 1-2,old,74,1,297
ASHLAND,TOWN OF JACOBS WARDS 1-2,pmc,74,1,297
ASHLAND,TOWN OF LA POINTE WARD 1,evers,74,1,279
ASHLAND,TOWN OF LA POINTE WARD 1,old,74,1,279
ASHLAND,TOWN OF LA POINTE WARD 1,pmc,75,1,279
ASHLAND,TOWN OF MARENGO WARD 1,evers,74,1,185
ASHLAND,TOWN OF MARENGO WARD 1,old,74,1,185
ASHLAND,TOWN OF MARENGO WARD 1,pmc,74,1,185
ASHLAND,TOWN OF MORSE WARDS 1-2,evers,74,1,260
ASHLAND,TOWN OF MORSE WARDS 1-2,old,74,1,260
ASHLAND,TOWN OF MORSE WARDS 1-2,pmc,74,1,260
ASHLAND,TOWN OF PEEKSVILLE WARD 1,evers,74,1,88
ASHLAND,TOWN OF PEEKSVILLE WARD 1,old,74,1,88
ASHLAND,TOWN OF PEEKSVILLE WARD 1,pmc,74,1,88
ASHLAND,TOWN OF SANBORN WARDS 1-2,evers,74,1,395
ASHLAND,TOWN OF SANBORN WARDS 1-2,old,74,1,395
ASHLAND,TOWN OF SANBORN WARDS 1-2,pmc,75,1,395
