plan,office,district,DEM,REP,TOT,margin,winner
Evers least change,GOV,1,14227.537352676514,17717.479647959968,32305.977788995457,-10.80277562894954,rep
Evers least change,GOV,2,11133.159415648408,16241.10623513764,27712.067839758147,-18.432211010110645,rep
Evers least change,GOV,3,12725.036530642104,15852.934041171318,28852.627051414966,-10.840945280148478,rep
Evers least change,GOV,4,14080.742446902008,13729.233032877724,28149.628480457544,1.2487177735518329,dem
Evers least change,GOV,5,10587.165846985572,16568.279188714005,27455.11904917975,-21.78505702712341,rep
Evers least change,GOV,6,8527.742419092798,17347.98675683653,26209.86415456113,-33.6523847881478,rep
Evers least change,GOV,7,12626.038968291505,7658.568622524988,20568.71587680848,24.150609962809632,dem
Evers least change,GOV,8,6299.927723368168,1274.011292881764,7668.924331126553,65.53613275446291,dem
Evers least change,GOV,9,8962.671298406904,3315.451012368088,12409.558556134683,45.50701993542795,dem
Evers least change,GOV,10,20046.16816846725,2345.8913009552302,22556.137138080147,78.47211053540602,dem
Evers least change,GOV,11,17088.232103314538,5552.931868812059,22837.222654317877,50.51095927517034,dem
Evers least change,GOV,12,14604.234452530687,4944.825520732888,19745.29629036289,48.92005057686715,dem
Evers least change,GOV,13,17620.650028107742,15028.80564429698,32898.80358894186,7.878232947905595,dem
Evers least change,GOV,14,17206.62124520012,3826.1078045526924,21257.05110081572,62.94623547352701,dem
Evers least change,GOV,15,13335.179288389467,13753.84352322024,27368.85609952612,-1.5297103879983565,rep
Evers least change,GOV,16,14193.258718914745,1303.158654370373,15658.936137572877,82.31785321363682,dem
Evers least change,GOV,17,19410.5515876175,3913.6250043735304,23522.1120061397,65.88237731033246,dem
Evers least change,GOV,18,15777.566331974054,3380.9544571570814,19374.720580686444,63.983435648483365,dem
Evers least change,GOV,19,24498.05135253726,4724.867277286847,29455.522882274483,67.12895287677738,dem
Evers least change,GOV,20,16662.57371672838,10680.446094517964,27631.986223939144,21.649285627638893,dem
Evers least change,GOV,21,13088.438037530475,11446.33225926315,24803.223903495113,6.62053362359854,dem
Evers least change,GOV,22,14898.389827443954,19553.06266877702,34700.85189458786,-13.413713460040539,rep
Evers least change,GOV,23,20012.13556527221,14399.949752726548,34623.16848592347,16.20933628540488,dem
Evers least change,GOV,24,12318.724979649667,22171.347573921892,34759.88463804106,-28.344808093780493,rep
Evers least change,GOV,25,9700.403068282916,15715.74320371601,25794.10613417549,-23.320599303354676,rep
Evers least change,GOV,26,10647.43104107078,14773.25314478388,25757.6990129774,-16.01782093048918,rep
Evers least change,GOV,27,12217.16127052228,15976.449435814773,28538.743869948605,-13.172577540285635,rep
Evers least change,GOV,28,9841,16819,27089,-25.759533389936873,rep
Evers least change,GOV,29,9900.70311181802,13841.917302048956,24069.057287577714,-16.374609703825154,rep
Evers least change,GOV,30,13889.901409050275,14014.92083075621,28213.02492819528,-0.4431266127050193,rep
Evers least change,GOV,31,12199.598554261678,14344.128775512061,26893.956503029676,-7.974022792104973,rep
Evers least change,GOV,32,10031.256956865996,15814.209102938128,26190.66010596181,-22.08020768730358,rep
Evers least change,GOV,33,11045.960695823735,18226.356344697404,29601.32721359849,-24.257005765522177,rep
Evers least change,GOV,34,13329.687728296765,19588.17834692777,33337.909351621835,-18.77289470260839,rep
Evers least change,GOV,35,10012.887061517398,18019.14295642321,28463.998536896273,-28.12765706310642,rep
Evers least change,GOV,36,9327.411187180624,19325.97217516984,29031.357074937085,-34.44055667869906,rep
Evers least change,GOV,37,19981.83224708098,9399.571543751019,29635.456349262786,35.70810781050519,dem
Evers least change,GOV,38,12495.036401277905,15021.812605617284,27855.746526260413,-9.070933360042293,rep
Evers least change,GOV,39,9377.267463015183,17254.417664110348,26940.676536220086,-29.23887301235668,rep
Evers least change,GOV,40,9418.810340568987,18143.40221408783,27873.17807719267,-31.30103014933116,rep
Evers least change,GOV,41,9755.777965003032,16239.322323152315,26369.06993539569,-24.587686915139546,rep
Evers least change,GOV,42,14583.609649116495,14474.069472416955,29357.63436571312,0.3731233086936736,dem
Evers least change,GOV,43,15199.595923081974,11486.767267128827,27016.927425216847,13.742601434712725,dem
Evers least change,GOV,44,14160.312499400268,8171.626461762425,22605.86283766669,26.491738362931592,dem
Evers least change,GOV,45,11402.78514639461,8573.801994488313,20288.28491151617,13.94392460597047,dem
Evers least change,GOV,46,23177.051478983467,8359.215115433954,31821.488477626448,46.56550360291245,dem
Evers least change,GOV,47,24695.45123553409,6022.657168265778,30928.069979143882,60.37490887682346,dem
Evers least change,GOV,48,29489.92234953398,3068.8828539432934,32731.37321851684,80.72084027517592,dem
Evers least change,GOV,49,10650,12240,23187,-6.857290723250103,rep
Evers least change,GOV,50,10420.895184135978,13265.484419263455,24027.892351274786,-11.838696434714796,rep
Evers least change,GOV,51,15209.428819444445,11858.572916666666,27375.015625,12.240562521241587,dem
Evers least change,GOV,52,10239.321960675714,14687.328504173754,25184.451422241564,-17.661717021041795,rep
Evers least change,GOV,53,9935.70505640683,16222.659910041843,26411.670644727405,-23.803700031713383,rep
Evers least change,GOV,54,13060.218926813719,10166.05909458459,23523.88568381838,12.303068766483438,dem
Evers least change,GOV,55,13547.447235094138,12651.771141166522,26555.190438868427,3.372885221778066,dem
Evers least change,GOV,56,13244.152978885875,15548.809338727151,29069.935706803266,-7.9279719882624775,rep
Evers least change,GOV,57,13840.241250882184,9159.509705231767,23336.16455283278,20.057844274509208,dem
Evers least change,GOV,58,9883.8108521116,20366.294617159372,30520.668611763085,-34.345524661958684,rep
Evers least change,GOV,59,8106.017791686817,22426.814542656528,30787.30198299564,-46.51527035035202,rep
Evers least change,GOV,60,12340.88230198202,21021.999194430344,33657.05081890347,-25.792862657986,rep
Evers least change,GOV,61,10984.99077222127,17066.468440138302,28382.34866507555,-21.426971177337006,rep
Evers least change,GOV,62,12368.477799231348,17793.70449096842,30457.036679875513,-17.81272009079527,rep
Evers least change,GOV,63,11419.08560706462,15892.94321100197,27658.475275164154,-16.175358762290987,rep
Evers least change,GOV,64,12923.851018681433,10061.742291196568,23255.605882999276,12.30717764088518,dem
Evers least change,GOV,65,10693.025576279691,7064.8069423542565,18031.208528515355,20.121882724541777,dem
Evers least change,GOV,66,10704.66875712296,4624.343116183513,15535.165703821596,39.13911030536164,dem
Evers least change,GOV,67,9858.237181421646,15956.040974947005,26170.28395586807,-23.300487697452247,rep
Evers least change,GOV,68,12706.256112481207,13493.75750124469,26577.24822208168,-2.9630659358826694,rep
Evers least change,GOV,69,8658.390245274666,14301.84302834694,23324.28962109468,-24.19560413093263,rep
Evers least change,GOV,70,9814.230563839606,15420.124313709568,25625.008864666106,-21.87665096810887,rep
Evers least change,GOV,71,15636.65710919609,12142.732694404258,28079.662045975514,12.442900520209765,dem
Evers least change,GOV,72,10707.975903663468,15938.062072625162,27041.857974286253,-19.34070570866438,rep
Evers least change,GOV,73,13559,12337,26200,4.664122137404581,dem
Evers least change,GOV,74,14870,14522,29713,1.1712045232726398,dem
Evers least change,GOV,75,9815.57095709571,16442.435643564357,26688.980198019803,-24.829965915896366,rep
Evers least change,GOV,76,23879.112476417147,2966.038587542794,27004.4919604641,77.4429451199901,dem
Evers least change,GOV,77,30486.0805183031,3132.004622976302,33765.783456760255,81.01122821674151,dem
Evers least change,GOV,78,26559.607070648144,5516.993786154361,32290.04060706019,65.16750331956173,dem
Evers least change,GOV,79,25406.339185175813,9625.230936220072,35304.237264446965,44.70032345054531,dem
Evers least change,GOV,80,23882.19539139301,9565.196215991504,33769.08935471365,42.39675824543095,dem
Evers least change,GOV,81,15318.806832152584,10955.059353399627,26549.531684540718,16.4362502909755,dem
Evers least change,GOV,82,14241.542931190177,14531.027489790973,29033.241181450998,-0.9970797155976596,rep
Evers least change,GOV,83,11182.255806847443,22154.896872721398,33623.61194499658,-32.633736922207014,rep
Evers least change,GOV,84,13782.267823505472,16316.104091142848,30349.320399327415,-8.348906118153238,rep
Evers least change,GOV,85,11631.80557044412,10780.952743052738,22707.58689441788,3.746998002683161,dem
Evers least change,GOV,86,11340.005961390078,18831.29822393338,30512.656814897888,-24.551425685375445,rep
Evers least change,GOV,87,8617.67362924282,17068.250652741513,26063.960835509137,-32.42245903004027,rep
Evers least change,GOV,88,12154.626690074283,10732.094388783937,23120.71198549816,6.152631900706995,dem
Evers least change,GOV,89,9541.421363520554,17049.77823128874,26947.469213947268,-27.862938846524653,rep
Evers least change,GOV,90,10497.270245200953,7824.717051370746,18616.1942197399,14.356066348922885,dem
Evers least change,GOV,91,17052.595916030896,8547.246277970828,25895.670355936836,32.844678361879645,dem
Evers least change,GOV,92,10167,13228,23736,-12.89602291877317,rep
Evers least change,GOV,93,12150.735312102246,16028.681469467954,28553.73505232062,-13.58122203718683,rep
Evers least change,GOV,94,14364.664007158997,13192.19022303562,27908.85868652586,4.201081087882091,dem
Evers least change,GOV,95,16516.627480114268,8798.602404636236,25665.231620003742,30.071908914558648,dem
Evers least change,GOV,96,12647.708512726733,12633.207372328143,25643.9096934704,0.05654808713618786,dem
Evers least change,GOV,97,11752.102566764419,16231.728487153649,28239.885703902586,-15.862762219927012,rep
Evers least change,GOV,98,12281.171512117207,17657.247020525134,30212.39727468475,-17.794269880439415,rep
Evers least change,GOV,99,12310.191046413047,23089.127854601407,35669.118926918956,-30.21924043112166,rep
Evers least change,SOS,1,13447.646454359898,17604.54859425411,32014.0479072932,-12.984618977056062,rep
Evers least change,SOS,2,10431.753082515803,15842.73408949528,27304.025390651455,-19.81752115141281,rep
Evers least change,SOS,3,11787.125111980065,15745.073212373227,28488.291774371002,-13.89324474679054,rep
Evers least change,SOS,4,13120.01724328464,13608.817005835295,27799.46746730446,-1.758306209014776,rep
Evers least change,SOS,5,9719.292343653617,16413.82047582329,27106.65329570648,-24.696992502685834,rep
Evers least change,SOS,6,7853.598836201163,17139.943069299075,25970.798340410223,-35.75686858516199,rep
Evers least change,SOS,7,11871.86137743152,7405.08021185463,20264.10374860431,22.042826176729086,dem
Evers least change,SOS,8,5834.962214805493,1317.989484050993,7478.9576626361,60.39575211557499,dem
Evers least change,SOS,9,8395.853668297706,3248.828853754086,12210.41617552889,42.15273861720507,dem
Evers least change,SOS,10,19020.259761161113,2346.3722912901308,22193.31921018945,75.13021063661188,dem
Evers least change,SOS,11,16278.364323824628,5503.059946827594,22469.501307849296,47.95524488668952,dem
Evers least change,SOS,12,13992.82640926356,4832.932447486275,19482.78766383774,47.015314850343955,dem
Evers least change,SOS,13,16344.174876737294,15072.655356831174,32499.944505647236,3.9123744340091973,dem
Evers least change,SOS,14,16365.731620445895,3779.1937937026564,20955.012644857445,60.06456803466589,dem
Evers least change,SOS,15,12501.493685134128,13461.68750126354,26993.714713255576,-3.5571014450185956,rep
Evers least change,SOS,16,13222.016138102768,1354.1033745524478,15353.27048323887,77.29892322620444,dem
Evers least change,SOS,17,18471.710835774982,3925.43372451558,23184.498455578385,62.741392224335335,dem
Evers least change,SOS,18,14895.994910871275,3338.118917143973,19050.17812327951,60.67069776950517,dem
Evers least change,SOS,19,22871.696403404516,4707.4915657118945,29139.600904887964,62.33511878553457,dem
Evers least change,SOS,20,15807.689445344698,10338.723062544088,27227.710845835816,20.086030785937442,dem
Evers least change,SOS,21,12339.47094736729,11112.41886688965,24421.336307528647,5.024508343957256,dem
Evers least change,SOS,22,13725.19741538761,19589.162546085827,34254.488018912074,-17.118822875007478,rep
Evers least change,SOS,23,18700.527550308714,14555.565579262238,34234.40837248515,12.10759048600315,dem
Evers least change,SOS,24,11333.387316241653,22071.09968088606,34360.89733973649,-31.249801943405096,rep
Evers least change,SOS,25,9402.145149869562,15130.78792894505,25434.356178822505,-22.523246662108736,rep
Evers least change,SOS,26,10017.624183505124,14438.687120565048,25428.07659147304,-17.386540901573603,rep
Evers least change,SOS,27,11465.61390901837,15657.119806848852,28159.598396533413,-14.884821291863586,rep
Evers least change,SOS,28,9145,16896,27040,-28.664940828402365,rep
Evers least change,SOS,29,9071.75225881048,13744.487971375045,23942.970549220998,-19.516106837948705,rep
Evers least change,SOS,30,12894.566309500258,13951.363065203945,28091.53656844799,-3.7619756154266937,rep
Evers least change,SOS,31,10505.824295007282,15525.880289165556,26747.165600691897,-18.76855315850146,rep
Evers least change,SOS,32,9036.989832661107,16128.440772979206,26040.2393934563,-27.232664159378363,rep
Evers least change,SOS,33,10231.094602002278,17993.619122891727,29277.971201711698,-26.513191325345737,rep
Evers least change,SOS,34,12475.608317940272,19487.149797835405,33038.843944142245,-21.22211507082188,rep
Evers least change,SOS,35,9485.964316132382,17761.14237052075,28140.038190359286,-29.40713156964877,rep
Evers least change,SOS,36,8827.508398056048,18988.997262655128,28715.368608494602,-35.38693513964887,rep
Evers least change,SOS,37,18621.88773051714,9492.131335493952,29265.044414874992,31.196796647889823,dem
Evers least change,SOS,38,11653.200632685619,14746.516130132579,27481.5675596,-11.255964532366663,rep
Evers least change,SOS,39,8888.417169080229,16774.034783422732,26566.83846445676,-29.6821830150867,rep
Evers least change,SOS,40,8873.427243293761,17831.21004684075,27629.324269295386,-32.42128803526991,rep
Evers least change,SOS,41,9014.039190673542,16147.38916320069,26090.21684613043,-27.341091163008603,rep
Evers least change,SOS,42,13506.338232069822,14382.805778593396,29002.55846481198,-3.0220352717742758,rep
Evers least change,SOS,43,13878.88494188165,11810.668289378462,26701.858508253215,7.745590636936106,dem
Evers least change,SOS,44,12906.098087682249,8800.649168900798,22438.38614766593,18.296542771675696,dem
Evers least change,SOS,45,10357.665483243203,8976.90724917491,20088.79893260019,6.8732741997212745,dem
Evers least change,SOS,46,21798.291910735505,8454.705795564403,31450.915059749368,42.426702338616906,dem
Evers least change,SOS,47,23261.090048485326,6121.460941512006,30581.48147579312,56.045777640106344,dem
Evers least change,SOS,48,28019.17901518124,3053.096491902263,32468.695937148943,76.89277872941648,dem
Evers least change,SOS,49,9823,12300,22959,-10.788797421490482,rep
Evers least change,SOS,50,9623.059490084986,13427.294617563739,23858.97450424929,-15.944671581761478,rep
Evers least change,SOS,51,14269.371527777777,11852.598958333334,27062.00173611111,8.930501863871882,dem
Evers least change,SOS,52,9636.005570281284,14294.660640107608,24788.478165921588,-18.793630809619028,rep
Evers least change,SOS,53,9217.214650569349,15912.082585441533,26019.72870449542,-25.72996825180392,rep
Evers least change,SOS,54,11965.620446447638,10050.385858143607,23172.110397493256,8.265257481732096,dem
Evers least change,SOS,55,12399.097754652948,12536.707807548088,26176.955124014596,-0.5256915949284569,rep
Evers least change,SOS,56,12123.785489883834,15537.704563399835,28697.13243869958,-11.896377036306777,rep
Evers least change,SOS,57,12795.787596758617,9078.476540439864,23038.568184557407,16.135165286922827,dem
Evers least change,SOS,58,9184.991741165244,20126.643457369435,30286.387117629525,-36.12729268006721,rep
Evers least change,SOS,59,7750.913851765595,21642.910942634382,30352.995251610428,-45.76812593192668,rep
Evers least change,SOS,60,11328.384292111325,20854.887210374534,33272.82528815659,-28.63148180462497,rep
Evers least change,SOS,61,10181.726902722974,16928.013320003596,28088.888490513185,-24.017633946459394,rep
Evers least change,SOS,62,11672.275227656603,17563.77341584428,30210.91065918185,-19.501226741065164,rep
Evers least change,SOS,63,10742.05256047696,15711.540437022379,27403.022671914125,-18.1348164983228,rep
Evers least change,SOS,64,12313.452528861864,9908.14342130127,23039.21817154821,10.440063936418554,dem
Evers least change,SOS,65,10221.4436087376,6919.921517632984,17870.383851801693,18.474824707090754,dem
Evers least change,SOS,66,10166.645925636452,4525.645737388106,15437.911349245895,36.53991826118302,dem
Evers least change,SOS,67,9141.136173760042,15844.744713312275,25923.649277786462,-25.859046570640203,rep
Evers least change,SOS,68,11742.495361171257,13410.736540888935,26323.132138520254,-6.337548172226964,rep
Evers least change,SOS,69,8107.83455646393,14189.686088472321,23092.89699320244,-26.336459794536072,rep
Evers least change,SOS,70,9128.061783262337,15457.611907898934,25429.369801048248,-24.89070776884011,rep
Evers least change,SOS,71,14651.003885370441,11980.45604801081,27785.701969115184,9.611230410259353,dem
Evers least change,SOS,72,10110.37207213129,15843.694985211716,26855.68049199068,-21.348641360215424,rep
Evers least change,SOS,73,12870,12275,26088,2.2807421036491915,dem
Evers least change,SOS,74,14140,14333,29459,-0.6551478325808768,rep
Evers least change,SOS,75,9216.57095709571,16490.44884488449,26580.973597359734,-27.364979168826565,rep
Evers least change,SOS,76,21955.9306845969,3129.7488277362017,26637.43391819185,70.67565860389986,dem
Evers least change,SOS,77,29094.186575388594,3226.21857324515,33469.91301083162,77.28722806591098,dem
Evers least change,SOS,78,24956.645492646305,5730.031565685412,31944.132049779448,60.18824958837359,dem
Evers least change,SOS,79,23909.804845252955,9789.578826569617,34885.37983619772,40.47605640237842,dem
Evers least change,SOS,80,22379.840068352045,9753.594643852311,33372.12605790119,37.83470493486987,dem
Evers least change,SOS,81,14253.45511710038,10948.402846596495,26250.382661697393,12.590491777197489,dem
Evers least change,SOS,82,13378.262600096583,14335.462636017486,28549.472302903763,-3.352776631964388,rep
Evers least change,SOS,83,10309.046223725967,21894.207487152224,33184.23568417593,-34.91164109876033,rep
Evers least change,SOS,84,12913.40273349849,16009.220070216825,29841.914864588063,-10.374057263972663,rep
Evers least change,SOS,85,10930.111304403566,10742.76858144759,22537.283248506774,0.8312569039056195,dem
Evers least change,SOS,86,10763.636703718703,18649.83347538603,30242.13653538967,-26.076850630043335,rep
Evers least change,SOS,87,8200.665796344647,16895.21671018277,25860.926892950392,-33.62041488237697,rep
Evers least change,SOS,88,11320.009429992682,10658.245019379505,22833.689528305098,2.89819308348237,dem
Evers least change,SOS,89,8833.129970479602,16850.801861522905,26657.224590668666,-30.07691916228173,rep
Evers least change,SOS,90,9651.832544270595,7731.096588036728,18356.523061883894,10.463506350078628,dem
Evers least change,SOS,91,15658.514993133422,8576.79269872501,25625.721886706415,27.635210924856413,dem
Evers least change,SOS,92,9415,13271,23554,-16.370892417423793,rep
Evers least change,SOS,93,11206.963946528831,16022.426165610299,28371.015981958142,-16.973175095822246,rep
Evers least change,SOS,94,13252.739846576746,13224.013555133817,27579.568532207988,0.10415787110440444,dem
Evers least change,SOS,95,15096.586825205775,8828.773389970014,25319.526328193355,24.75486055304492,dem
Evers least change,SOS,96,11786.673328217477,12652.213054896169,25429.905139598653,-3.403629395891455,rep
Evers least change,SOS,97,10748.22452835455,16094.068338812813,27823.162450217398,-19.213645537322776,rep
Evers least change,SOS,98,11304.971084063372,17624.83338211909,29808.752481193387,-21.201364606059837,rep
Evers least change,SOS,99,11235.19817327327,23060.577207641727,35255.394616426376,-33.542041333041034,rep
Evers least change,USH,1,0,21617.94029365933,30871.423317165245,-70.02573244376212,rep
Evers least change,USH,2,0,19804.99707621894,24826.0952514763,-79.77491778551531,rep
Evers least change,USH,3,0,19490.756285729756,26589.288870971006,-73.30303710005907,rep
Evers least change,USH,4,0,17825.6482663564,26083.48006111483,-68.34075907275432,rep
Evers least change,USH,5,0,19552.702781241598,25662.06414886294,-76.19302433279887,rep
Evers least change,USH,6,0,19829.80396826061,25094.515387724732,-79.02046985916526,rep
Evers least change,USH,7,11835.680207858242,7930.296442173269,20323.710798637494,19.215899125797392,dem
Evers least change,USH,8,6080.950331017126,1358.9815615254145,7609.9443781802265,62.04997743519487,dem
Evers least change,USH,9,8608.279311633647,3428.951349843866,12355.729909459898,41.91842974670675,dem
Evers least change,USH,10,19698.32346305488,2458.1472890712566,22503.229258045652,76.61200966443377,dem
Evers least change,USH,11,14310.308943574488,6309.771848684323,21213.056154143313,37.71515540596685,dem
Evers least change,USH,12,14287.049135624826,5085.090982719157,19638.819601539217,46.85596354367679,dem
Evers least change,USH,13,16009.18870545298,15883.785532568287,32192.335385476006,0.3895435711112505,dem
Evers least change,USH,14,16754.798546200178,4072.122972795271,21258.458760012494,59.65943117786706,dem
Evers least change,USH,15,12163.19368920356,14278.093775421507,26618.36882991735,-7.9452655409933906,rep
