plan,district,GOV,SOS,USH,USS,WAG,WSA,WST,predict_v1,predicted_dem_win,predict_v2,predict_avg,final_wsa,predict_party2tot,contested_2022
Evers least change,1,-10.80277562894954,-12.984618977056062,-70.02573244376212,-16.411601624316578,-11.170530053291024,-25.1004085443544,-15.634578305969749,-17.790998696542,0,-18.588573309231005,-13.504871403131721,-18.588573309231005,31937.605256646268,NA
Evers least change,2,-18.432211010110645,-19.81752115141281,-79.77491778551531,-23.221087986562026,-18.54923513479164,-25.375819236856778,-23.275029788955315,-24.06909752531354,0,-24.012152902969923,-20.86939098010491,-24.012152902969923,27117.221054628833,NA
Evers least change,3,-10.840945280148478,-13.89324474679054,-73.30303710005907,-15.347071035697246,-11.430375219859725,-79.41775290914266,-16.48722416674342,-15.634821919792211,0,-16.007808712417578,-13.526403925612218,-16.007808712417578,28264.703371023992,NA
Evers least change,4,1.2487177735518329,-1.758306209014776,-68.34075907275432,-4.306264692388834,-0.7580880725153449,-9.16426612094824,-4.970526708078521,-5.509256509321567,0,-7.257857751895167,-2.1965404248577167,-7.257857751895167,27677.407037011042,NA
Evers least change,5,-21.78505702712341,-24.69699250268583,-76.19302433279887,-26.45764641542936,-22.83567810811191,-25.91332602792113,-27.272829529553473,-27.554507523073752,0,-27.352208921089343,-24.587802770054537,-27.352208921089343,26877.096894216822,NA
Evers least change,6,-33.6523847881478,-35.75686858516199,-79.02046985916526,-38.02064190990109,-33.57215448171543,-31.414792292422877,-37.56791838566722,-39.288443592661054,0,-38.05484103776196,-35.703274891357886,-38.05484103776196,25903.714399050506,NA
Evers least change,7,24.150609962809632,22.042826176729086,19.215899125797392,20.332483267713663,22.54431411875364,20.755418739887386,20.518867257502063,20.742471077660454,1,22.64895869484132,21.88656865169475,22.64895869484132,20208.628507005353,NA
Evers least change,8,65.53613275446291,60.39575211557499,62.04997743519487,63.079365641771865,62.259355531370176,95.39397996097097,61.120202246167985,65.61440758216413,1,62.68223297543316,62.99876404344324,62.68223297543316,7653.927484389194,NA
Evers least change,9,45.50701993542795,42.15273861720507,41.91842974670675,41.75423464053779,42.9534808355106,45.66184994516185,41.89919615965525,42.54273527927096,1,43.14823535036964,43.0284828927829,43.14823535036964,12310.262100894315,NA
Evers least change,10,78.47211053540602,75.13021063661188,76.61200966443377,77.66378203170271,76.71783978223642,98.9464780758035,75.78642859256608,82.19079337588965,1,76.98562215669656,77.16004023547781,76.98562215669656,22249.747603058437,NA
Evers least change,11,50.51095927517034,47.95524488668952,37.71515540596685,48.38396272665082,48.342296681626074,63.38849307664679,46.57427890251961,51.0098316323671,1,48.70534334333767,48.45287439649171,48.70534334333767,22488.95132583062,NA
Evers least change,12,48.92005057686715,47.015314850343955,46.85596354367679,47.35445669437815,47.41208681782697,50.74102769434662,47.03466333884796,50.01727256517769,1,48.15084241047377,47.680314356980055,48.15084241047377,19554.17158999419,NA
Evers least change,13,7.878232947905595,3.9123744340091977,0.3895435711112505,2.8039088586866767,4.187826050946009,3.609298941743433,0.36395559352789264,1.8856094798076266,1,4.452252845286465,3.8084808627665434,4.452252845286465,32229.105113264497,NA
Evers least change,14,62.94623547352701,60.06456803466589,59.65943117786706,61.53618882863105,60.42176389611846,62.33382984957685,59.56195018260926,64.86360441207263,1,61.10781052177014,61.116534595221445,61.10781052177014,21062.613015021223,NA
Evers least change,15,-1.5297103879983565,-3.5571014450185956,-7.9452655409933906,-5.580045016104251,-3.906927074441863,-59.522988112633634,-6.400073002020274,-6.249320012679359,0,-7.22316338510599,-4.354188870141186,-7.22316338510599,26744.79294704191,NA
Evers least change,16,82.31785321363682,77.29892322620444,80.6018941157389,82.3188330400172,79.44759347520862,98.63929975631284,78.8643634494511,87.395655003007093,1,80.3848518866852,80.73716079457844,80.3848518866852,15537.156815085891,NA
Evers least change,17,65.88237731033246,62.741392224335335,62.57448547317816,64.5289434769411,63.81498648064442,71.24043445818603,62.1475389028282,68.34388014890813,1,64.09436069871126,64.09346154268654,64.09436069871126,23307.648848500077,NA
Evers least change,18,63.983435648483365,60.67069776950517,61.0546274271404,62.85574882354636,61.882592193025744,79.62082315799722,60.83680032566859,66.57787884996476,1,62.45859073039064,62.38964424768102,62.45859073039064,19211.852235840906,NA
Evers least change,19,67.12895287677738,62.33511878553457,62.419405780207526,65.19083070996321,64.41735910330276,94.20245649609132,61.92516379611413,68.74937827895678,1,64.4591263917589,64.66557662153937,64.4591263917589,29071.24153735756,NA
Evers least change,20,21.649285627638893,20.08603078593744,15.345581937469944,17.8745515674259,20.16025967958984,18.58556142138884,17.78719231646914,18.36224569718954,1,20.21137002407543,19.367822297780943,20.21137002407543,27079.268529386776,NA
Evers least change,21,6.62053362359854,5.024508343957256,-1.0646733393186447,2.565403812223921,4.999981594939457,0.1493180713396269,2.571522808727228,2.2707854877106226,1,5.329163393483354,4.189360459872286,5.329163393483354,24201.894052014308,NA
Evers least change,22,-13.41371346004054,-17.118822875007478,-21.51955263322681,-19.16530699689264,-17.136004888493584,-19.586780479158932,-20.99152438511907,-21.421360118154652,0,-22.534674503977406,-17.67663743263646,-22.534674503977406,33878.13397672997,NA
Evers least change,23,16.20933628540488,12.10759048600315,-24.00227900367135,11.471236505773035,12.640430667196611,12.8829727569237,8.509319819070043,11.258082505014972,1,12.714612902242793,12.207580819361143,12.714612902242793,34004.58665108459,NA
Evers least change,24,-28.344808093780493,-31.249801943405096,-39.3480873902753,-32.95689612512592,-30.96268965307829,-46.334270512789665,-34.38465693929612,-34.796233027523165,0,-34.340180484335875,-31.662262702820207,-34.340180484335875,34100.942740996805,NA
Evers least change,25,-23.320599303354676,-22.523246662108736,-94.91680060314398,-28.138103754741135,-21.808258046170685,-95.22892425351824,-26.96649029237544,-28.821002582221773,0,-28.26152175886352,-25.058362849160485,-28.26152175886352,25349.096250249695,NA
