plan,swing,baseline,dem,rep
2012,-20,final_wsa,25,74
2022,-20,final_wsa,27,72
Evers least change,-20,final_wsa,25,74
People's Map Commission,-20,final_wsa,22,77
2012,-19.9,final_wsa,25,74
2022,-19.9,final_wsa,27,72
Evers least change,-19.9,final_wsa,25,74
People's Map Commission,-19.9,final_wsa,22,77
2012,-19.8,final_wsa,25,74
2022,-19.8,final_wsa,27,72
Evers least change,-19.8,final_wsa,26,73
People's Map Commission,-19.8,final_wsa,22,77
2012,-19.7,final_wsa,25,74
2022,-19.7,final_wsa,27,72
Evers least change,-19.7,final_wsa,26,73
People's Map Commission,-19.7,final_wsa,22,77
2012,-19.6,final_wsa,25,74
2022,-19.6,final_wsa,27,72
Evers least change,-19.6,final_wsa,26,73
People's Map Commission,-19.6,final_wsa,22,77
2012,-19.5,final_wsa,25,74
2022,-19.5,final_wsa,27,72
Evers least change,-19.5,final_wsa,26,73
People's Map Commission,-19.5,final_wsa,22,77
2012,-19.4,final_wsa,25,74
2022,-19.4,final_wsa,27,72
Evers least change,-19.4,final_wsa,26,73
People's Map Commission,-19.4,final_wsa,22,77
2012,-19.3,final_wsa,25,74
2022,-19.3,final_wsa,27,72
Evers least change,-19.3,final_wsa,26,73
People's Map Commission,-19.3,final_wsa,22,77
2012,-19.2,final_wsa,25,74
2022,-19.2,final_wsa,27,72
Evers least change,-19.2,final_wsa,26,73
People's Map Commission,-19.2,final_wsa,22,77
2012,-19.1,final_wsa,25,74
2022,-19.1,final_wsa,27,72
Evers least change,-19.1,final_wsa,26,73
People's Map Commission,-19.1,final_wsa,22,77
2012,-19,final_wsa,25,74
2022,-19,final_wsa,27,72
Evers least change,-19,final_wsa,26,73
People's Map Commission,-19,final_wsa,22,77
2012,-18.9,final_wsa,25,74
2022,-18.9,final_wsa,27,72
Evers least change,-18.9,final_wsa,26,73
People's Map Commission,-18.9,final_wsa,22,77
2012,-18.8,final_wsa,25,74
2022,-18.8,final_wsa,27,72
Evers least change,-18.8,final_wsa,26,73
People's Map Commission,-18.8,final_wsa,22,77
2012,-18.7,final_wsa,25,74
2022,-18.7,final_wsa,28,71
Evers least change,-18.7,final_wsa,26,73
People's Map Commission,-18.7,final_wsa,22,77
2012,-18.6,final_wsa,26,73
2022,-18.6,final_wsa,28,71
Evers least change,-18.6,final_wsa,26,73
People's Map Commission,-18.6,final_wsa,22,77
2012,-18.5,final_wsa,26,73
2022,-18.5,final_wsa,28,71
Evers least change,-18.5,final_wsa,26,73
People's Map Commission,-18.5,final_wsa,22,77
2012,-18.4,final_wsa,26,73
2022,-18.4,final_wsa,28,71
Evers least change,-18.4,final_wsa,26,73
People's Map Commission,-18.4,final_wsa,22,77
2012,-18.3,final_wsa,26,73
2022,-18.3,final_wsa,29,70
Evers least change,-18.3,final_wsa,26,73
People's Map Commission,-18.3,final_wsa,22,77
2012,-18.2,final_wsa,26,73
2022,-18.2,final_wsa,29,70
Evers least change,-18.2,final_wsa,26,73
People's Map Commission,-18.2,final_wsa,22,77
2012,-18.1,final_wsa,26,73
